date;task_code;domain;pattern_group;score;comment;pattern;subgroup;loaded_to_db_at
2026-05-19 00:00:00;PROB_1905_01;theory;Probability;1;;conditional_probability;Conditional;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_02;theory;Probability;1;;bayes;Bayes;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_03;theory;Probability;0.00;;multistage_probability;Bayes;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_04;theory;Probability;1;;conditional_probability;Conditional;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_05;theory;Probability;1;;combinatorics;Basics;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_06;theory;Distributions;1;;binomial;Discrete;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_07;theory;Distributions;1;;geometric;Discrete;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_08;theory;Distributions;0.5;;poisson;Discrete;2026-07-16 00:00:00
2026-05-19 00:00:00;PROB_1905_09;theory;Probability;1;;classical_probability;Basics;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_01;statistics;Hypothesis Testing;0.5;;p_value;Foundations;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_02;statistics;Hypothesis Testing;1;;central_limit_theorem;Foundations;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_03;statistics;Hypothesis Testing;1;;statistical_power;Decision Making;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_04;statistics;Hypothesis Testing;1;;effect_size;Decision Making;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_05;statistics;Parametric Analysis;0.5;;one_sample_test_selection;One Sample Tests;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_06;statistics;Hypothesis Testing;0.5;;type1_type2;Decision Making;2026-07-16 00:00:00
2026-05-19 00:00:00;STAT_1905_07;statistics;Hypothesis Testing;1;;p_value;Foundations;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_01;statistics;Descriptive Statistics;1;;ecdf;ECDF;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_02;statistics;Descriptive Statistics;1;;ecdf;ECDF;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_03;statistics;Hypothesis Testing;0.00;;central_limit_theorem;Foundations;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_04;statistics;Hypothesis Testing;1;;central_limit_theorem;Foundations;2026-07-16 00:00:00
2026-05-20 00:00:00;PROB_2005_05;theory;Probability;1;;combinatorics;Basics;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_06;statistics;Hypothesis Testing;0.00;;central_limit_theorem;Foundations;2026-07-16 00:00:00
2026-05-20 00:00:00;STAT_2005_07;statistics;Hypothesis Testing;0.00;;central_limit_theorem;Foundations;2026-07-16 00:00:00
2026-05-20 00:00:00;PROB_2005_01;theory;Probability;1;новый вариант условной вероятности;conditional_probability;Conditional;2026-07-16 00:00:00
2026-05-20 00:00:00;PROB_2005_02;theory;Probability;1;новый вариант Байеса;bayes;Bayes;2026-07-16 00:00:00
2026-05-20 00:00:00;PROB_2005_03;theory;Probability;0.00;снова урны;multistage_probability;Bayes;2026-07-16 00:00:00
2026-05-20 00:00:00;PROB_2005_04;theory;Probability;1;карты;conditional_probability;Conditional;2026-07-16 00:00:00
